year,county,state,ag_district,yield,type,units
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,31.0,"wheat, winter - yield, measured in bu / acre",bu_acre
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - yield, measured in bu / planted acre",bu_acre
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,21600.0,"wheat, winter, non-irrigated - acres harvested",acres
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,27600.0,"wheat, winter, non-irrigated - acres planted",acres
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,669600.0,"wheat, winter, non-irrigated - production, measured in bu",bu
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,31.0,"wheat, winter, non-irrigated - yield, measured in bu / acre",bu_acre
1990,DEWEY,SOUTH DAKOTA,NORTHWEST,1011.3972991242,rangeland,lb_acre
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,25900.0,"wheat, winter - acres harvested",acres
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,34900.0,"wheat, winter - acres planted",acres
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,440300.0,"wheat, winter - production, measured in bu",bu
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,17.0,"wheat, winter - yield, measured in bu / acre",bu_acre
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - yield, measured in bu / planted acre",bu_acre
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,25900.0,"wheat, winter, non-irrigated - acres harvested",acres
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,34900.0,"wheat, winter, non-irrigated - acres planted",acres
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,440300.0,"wheat, winter, non-irrigated - production, measured in bu",bu
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,17.0,"wheat, winter, non-irrigated - yield, measured in bu / acre",bu_acre
1989,DEWEY,SOUTH DAKOTA,NORTHWEST,1088.3004901204,rangeland,lb_acre
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,23600.0,"wheat, winter - acres harvested",acres
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,39100.0,"wheat, winter - acres planted",acres
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,259600.0,"wheat, winter - production, measured in bu",bu
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,11.0,"wheat, winter - yield, measured in bu / acre",bu_acre
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - yield, measured in bu / planted acre",bu_acre
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,23600.0,"wheat, winter, non-irrigated - acres harvested",acres
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,39100.0,"wheat, winter, non-irrigated - acres planted",acres
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,259600.0,"wheat, winter, non-irrigated - production, measured in bu",bu
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,11.0,"wheat, winter, non-irrigated - yield, measured in bu / acre",bu_acre
1988,DEWEY,SOUTH DAKOTA,NORTHWEST,846.67206565323,rangeland,lb_acre
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,39600.0,"wheat, winter - acres harvested",acres
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,41600.0,"wheat, winter - acres planted",acres
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,1227600.0,"wheat, winter - production, measured in bu",bu
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,31.0,"wheat, winter - yield, measured in bu / acre",bu_acre
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - yield, measured in bu / planted acre",bu_acre
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,39600.0,"wheat, winter, non-irrigated - acres harvested",acres
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,41600.0,"wheat, winter, non-irrigated - acres planted",acres
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,1227600.0,"wheat, winter, non-irrigated - production, measured in bu",bu
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,31.0,"wheat, winter, non-irrigated - yield, measured in bu / acre",bu_acre
1987,DEWEY,SOUTH DAKOTA,NORTHWEST,1262.7233507586,rangeland,lb_acre
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,46400.0,"wheat, winter - acres harvested",acres
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,50300.0,"wheat, winter - acres planted",acres
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,1343300.0,"wheat, winter - production, measured in bu",bu
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,29.0,"wheat, winter - yield, measured in bu / acre",bu_acre
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,nan,"wheat, winter - yield, measured in bu / planted acre",bu_acre
1986,DEWEY,SOUTH DAKOTA,NORTHWEST,46400.0,"wheat, winter, non-irrigated - acres harvested",acres
