year,county,state,ag_district,yield,type,units
1964,STEELE,NORTH DAKOTA,EAST CENTRAL,46000.0,"wheat, spring, (excl durum) - acres harvested",acres
1965,STEELE,NORTH DAKOTA,EAST CENTRAL,51000.0,"wheat, spring, (excl durum) - acres harvested",acres
1967,STEELE,NORTH DAKOTA,EAST CENTRAL,84000.0,"wheat, spring, (excl durum) - acres harvested",acres
1973,STEELE,NORTH DAKOTA,EAST CENTRAL,131000.0,"wheat, spring, (excl durum) - acres harvested",acres
1975,STEELE,NORTH DAKOTA,EAST CENTRAL,134600.0,"wheat, spring, (excl durum) - acres harvested",acres
1976,STEELE,NORTH DAKOTA,EAST CENTRAL,162300.0,"wheat, spring, (excl durum) - acres harvested",acres
1977,STEELE,NORTH DAKOTA,EAST CENTRAL,142800.0,"wheat, spring, (excl durum) - acres harvested",acres
2016,STEELE,NORTH DAKOTA,EAST CENTRAL,48900.0,"wheat, spring, (excl durum) - acres harvested",acres
2007,STEELE,NORTH DAKOTA,EAST CENTRAL,76500.0,"wheat, spring, (excl durum) - acres harvested",acres
2009,STEELE,NORTH DAKOTA,EAST CENTRAL,74000.0,"wheat, spring, (excl durum) - acres harvested",acres
2010,STEELE,NORTH DAKOTA,EAST CENTRAL,72300.0,"wheat, spring, (excl durum) - acres harvested",acres
2006,STEELE,NORTH DAKOTA,EAST CENTRAL,76500.0,"wheat, spring, (excl durum) - acres harvested",acres
2005,STEELE,NORTH DAKOTA,EAST CENTRAL,104000.0,"wheat, spring, (excl durum) - acres harvested",acres
2004,STEELE,NORTH DAKOTA,EAST CENTRAL,88000.0,"wheat, spring, (excl durum) - acres harvested",acres
2008,STEELE,NORTH DAKOTA,EAST CENTRAL,73500.0,"wheat, spring, (excl durum) - acres harvested",acres
2011,STEELE,NORTH DAKOTA,EAST CENTRAL,68000.0,"wheat, spring, (excl durum) - acres harvested",acres
2012,STEELE,NORTH DAKOTA,EAST CENTRAL,40200.0,"wheat, spring, (excl durum) - acres harvested",acres
2014,STEELE,NORTH DAKOTA,EAST CENTRAL,46400.0,"wheat, spring, (excl durum) - acres harvested",acres
2015,STEELE,NORTH DAKOTA,EAST CENTRAL,63500.0,"wheat, spring, (excl durum) - acres harvested",acres
