year,county,state,rangeland_lb_acre,wheat_winter_acres_harvested,wheat_winter_acres_planted,wheat_winter_bu,wheat_winter_bu_acre,wheat_spring_acres_harvested,wheat_spring_acres_planted,wheat_spring_bu,wheat_spring_bu_acre
1970,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,217400.0,220400.0,4339000.0,20.0
1971,BUTTE,SOUTH DAKOTA,nan,9500.0,10000.0,370500.0,39.0,nan,nan,nan,nan
1971,HARDING,SOUTH DAKOTA,nan,2400.0,2500.0,72000.0,30.0,nan,nan,nan,nan
1971,MCKENZIE,NORTH DAKOTA,nan,nan,nan,nan,nan,106800.0,108200.0,2826900.0,26.5
1971,SCOTTS BLUFF,NEBRASKA,nan,12250.0,13600.0,453100.0,37.0,nan,nan,nan,nan
1971,SIOUX,NEBRASKA,nan,4620.0,5400.0,157080.0,34.0,nan,nan,nan,nan
1971,WILLIAMS,NORTH DAKOTA,nan,nan,nan,nan,nan,245600.0,265600.0,6377600.0,26.0
1972,BUTTE,SOUTH DAKOTA,nan,nan,nan,nan,nan,2400.0,2500.0,72000.0,30.0
1972,HARDING,SOUTH DAKOTA,nan,nan,nan,nan,nan,15800.0,16000.0,442400.0,28.0
1972,MCKENZIE,NORTH DAKOTA,nan,8500.0,9400.0,272000.0,32.0,82200.0,83200.0,2125200.0,25.9
1972,SCOTTS BLUFF,NEBRASKA,nan,13930.0,16100.0,517470.0,37.1,nan,nan,nan,nan
1972,SIOUX,NEBRASKA,nan,4060.0,5150.0,152680.0,37.6,nan,nan,nan,nan
1972,WILLIAMS,NORTH DAKOTA,nan,2300.0,3100.0,75900.0,33.0,213700.0,214700.0,5980600.0,28.0
1973,BUTTE,SOUTH DAKOTA,nan,6000.0,6100.0,228000.0,38.0,nan,nan,nan,nan
1973,HARDING,SOUTH DAKOTA,nan,3300.0,3400.0,105600.0,32.0,nan,nan,nan,nan
1973,MCKENZIE,NORTH DAKOTA,nan,8300.0,9000.0,265600.0,32.0,104300.0,106300.0,3151400.0,30.2
1973,SCOTTS BLUFF,NEBRASKA,nan,17160.0,17600.0,512000.0,29.8,nan,nan,nan,nan
1973,SIOUX,NEBRASKA,nan,4560.0,4700.0,153000.0,33.6,nan,nan,nan,nan
1973,WILLIAMS,NORTH DAKOTA,nan,3800.0,4100.0,98800.0,26.0,195400.0,196400.0,5069000.0,25.9
1974,MCKENZIE,NORTH DAKOTA,nan,16000.0,17100.0,448000.0,28.0,99500.0,100400.0,1898200.0,19.1
1974,SCOTTS BLUFF,NEBRASKA,nan,17300.0,18300.0,512700.0,29.6,nan,nan,nan,nan
1974,SIOUX,NEBRASKA,nan,5500.0,6500.0,155900.0,28.3,nan,nan,nan,nan
1974,WILLIAMS,NORTH DAKOTA,nan,5500.0,6000.0,101800.0,18.5,197200.0,198900.0,3925600.0,19.9
1975,MCKENZIE,NORTH DAKOTA,nan,24700.0,26800.0,648600.0,26.3,71600.0,73100.0,1534700.0,21.4
1975,SCOTTS BLUFF,NEBRASKA,nan,15400.0,16300.0,459600.0,29.8,nan,nan,nan,nan
1975,SIOUX,NEBRASKA,nan,5600.0,5900.0,146000.0,26.1,nan,nan,nan,nan
1975,WILLIAMS,NORTH DAKOTA,nan,7400.0,8600.0,152300.0,20.6,178800.0,179800.0,4361600.0,24.4
1976,BUTTE,SOUTH DAKOTA,nan,5300.0,8500.0,162800.0,30.7,14800.0,17200.0,401100.0,27.1
1976,HARDING,SOUTH DAKOTA,nan,4700.0,6800.0,117300.0,25.0,37300.0,40500.0,600500.0,16.1
1976,MCKENZIE,NORTH DAKOTA,nan,23600.0,23800.0,806000.0,34.2,98600.0,99600.0,2592800.0,26.3
1976,SCOTTS BLUFF,NEBRASKA,nan,12800.0,15300.0,344400.0,26.9,nan,nan,nan,nan
1976,SIOUX,NEBRASKA,nan,5200.0,5600.0,150900.0,29.0,nan,nan,nan,nan
1976,WILLIAMS,NORTH DAKOTA,nan,11900.0,12000.0,342300.0,28.8,241500.0,243300.0,6070500.0,25.1
1977,BUTTE,SOUTH DAKOTA,nan,5700.0,11000.0,117300.0,20.6,9300.0,9400.0,160700.0,17.3
1977,HARDING,SOUTH DAKOTA,nan,4500.0,8800.0,73400.0,16.3,17500.0,28200.0,280000.0,16.0
1977,MCKENZIE,NORTH DAKOTA,nan,28100.0,32700.0,649300.0,23.1,95400.0,104400.0,1859900.0,19.5
1977,SCOTTS BLUFF,NEBRASKA,nan,17200.0,18300.0,514800.0,29.9,nan,nan,nan,nan
1977,SIOUX,NEBRASKA,nan,7500.0,8100.0,210900.0,28.1,nan,nan,nan,nan
1977,WILLIAMS,NORTH DAKOTA,nan,16500.0,20100.0,341300.0,20.7,212400.0,215400.0,4518700.0,21.3
1978,BUTTE,SOUTH DAKOTA,nan,10000.0,11000.0,292000.0,29.2,5300.0,5700.0,129300.0,24.4
1978,HARDING,SOUTH DAKOTA,nan,9000.0,10500.0,234200.0,26.0,21400.0,22000.0,445000.0,20.8
1978,MCKENZIE,NORTH DAKOTA,nan,20600.0,22000.0,803500.0,39.0,97500.0,100300.0,2685400.0,27.5
1978,SCOTTS BLUFF,NEBRASKA,nan,13100.0,19500.0,392500.0,30.0,nan,nan,nan,nan
1978,SIOUX,NEBRASKA,nan,6600.0,8500.0,202200.0,30.6,nan,nan,nan,nan
1978,WILLIAMS,NORTH DAKOTA,nan,12400.0,15200.0,295200.0,23.8,193400.0,196400.0,5816600.0,30.1
1979,BUTTE,SOUTH DAKOTA,nan,3100.0,10500.0,50200.0,16.2,9500.0,9900.0,237500.0,25.0
1979,HARDING,SOUTH DAKOTA,nan,2000.0,9200.0,37800.0,18.9,18200.0,19700.0,359000.0,19.7
1979,MCKENZIE,NORTH DAKOTA,nan,18000.0,19500.0,355500.0,19.8,111100.0,113100.0,2270300.0,20.4
1979,SCOTTS BLUFF,NEBRASKA,nan,15900.0,17800.0,397200.0,25.0,nan,nan,nan,nan
1979,SIOUX,NEBRASKA,nan,7400.0,8500.0,169800.0,22.9,nan,nan,nan,nan
1979,WILLIAMS,NORTH DAKOTA,nan,4300.0,4500.0,83100.0,19.3,221300.0,222300.0,4499000.0,20.3
1980,BUTTE,SOUTH DAKOTA,nan,4500.0,5100.0,60300.0,13.4,9300.0,12500.0,158100.0,17.0
1980,HARDING,SOUTH DAKOTA,nan,4000.0,10200.0,72000.0,18.0,5000.0,18300.0,45000.0,9.0
1980,MCKENZIE,NORTH DAKOTA,nan,5000.0,14000.0,51200.0,10.2,60100.0,121800.0,511500.0,8.5
1980,SCOTTS BLUFF,NEBRASKA,nan,16900.0,17400.0,607400.0,35.9,nan,nan,nan,nan
1980,SIOUX,NEBRASKA,nan,8900.0,9100.0,308500.0,34.7,nan,nan,nan,nan
1980,WILLIAMS,NORTH DAKOTA,nan,1600.0,4000.0,19200.0,12.0,184400.0,209400.0,2807000.0,15.2
1981,BUTTE,SOUTH DAKOTA,nan,5100.0,8500.0,146000.0,28.6,12000.0,15000.0,192000.0,16.0
1981,HARDING,SOUTH DAKOTA,nan,14000.0,16000.0,252000.0,18.0,11500.0,17000.0,115000.0,10.0
1981,MCKENZIE,NORTH DAKOTA,nan,13500.0,15500.0,270000.0,20.0,123400.0,126400.0,2786000.0,22.6
1981,SCOTTS BLUFF,NEBRASKA,nan,17200.0,17300.0,563600.0,32.8,nan,nan,nan,nan
1981,SIOUX,NEBRASKA,nan,9600.0,9900.0,352400.0,36.7,nan,nan,nan,nan
1981,WILLIAMS,NORTH DAKOTA,nan,3800.0,4300.0,76000.0,20.0,192700.0,199700.0,5391000.0,28.0
1982,BUTTE,SOUTH DAKOTA,nan,7000.0,9000.0,238000.0,34.0,11000.0,11300.0,324000.0,29.5
1982,HARDING,SOUTH DAKOTA,nan,14000.0,15800.0,350000.0,25.0,21200.0,22000.0,515000.0,24.3
1982,MCKENZIE,NORTH DAKOTA,nan,9600.0,11000.0,326400.0,34.0,103000.0,104000.0,2974000.0,28.9
1982,SCOTTS BLUFF,NEBRASKA,nan,15800.0,17000.0,442000.0,28.0,nan,nan,nan,nan
1982,SIOUX,NEBRASKA,nan,8600.0,9800.0,283000.0,32.9,nan,nan,nan,nan
1982,WILLIAMS,NORTH DAKOTA,nan,3000.0,4000.0,96000.0,32.0,172700.0,176700.0,4894000.0,28.3
1983,BUTTE,SOUTH DAKOTA,nan,9000.0,11000.0,345000.0,38.3,6200.0,6500.0,197000.0,31.8
1983,HARDING,SOUTH DAKOTA,nan,15000.0,18800.0,423000.0,28.2,10900.0,11000.0,222000.0,20.4
1983,MCKENZIE,NORTH DAKOTA,nan,1700.0,2500.0,49300.0,29.0,92300.0,92300.0,2124800.0,23.0
1983,SCOTTS BLUFF,NEBRASKA,nan,9300.0,15300.0,343700.0,37.0,nan,nan,nan,nan
1983,SIOUX,NEBRASKA,nan,6000.0,9200.0,235000.0,39.2,nan,nan,nan,nan
1983,WILLIAMS,NORTH DAKOTA,nan,1400.0,1500.0,44800.0,32.0,159300.0,159300.0,3330600.0,20.9
1984,BUTTE,SOUTH DAKOTA,1280.779181317,12200.0,12800.0,402000.0,33.0,8600.0,9000.0,247000.0,28.7
1984,HARDING,SOUTH DAKOTA,1433.810052788,29800.0,31300.0,956000.0,32.1,21400.0,21800.0,447000.0,20.9
1984,MCKENZIE,NORTH DAKOTA,1270.1706991902,6700.0,8000.0,144100.0,21.5,72200.0,77200.0,1275600.0,17.7
1984,SCOTTS BLUFF,NEBRASKA,1070.0309353391,13400.0,18200.0,455400.0,34.0,nan,nan,nan,nan
1984,SIOUX,NEBRASKA,1108.9608682074,4500.0,9200.0,167400.0,37.2,nan,nan,nan,nan
1984,WILLIAMS,NORTH DAKOTA,1262.7963286713,3000.0,4000.0,51000.0,17.0,148600.0,153600.0,2406400.0,16.2
1985,BUTTE,SOUTH DAKOTA,575.83856791683,12500.0,13600.0,219000.0,17.5,7900.0,9800.0,130000.0,16.5
1985,HARDING,SOUTH DAKOTA,816.38780102456,13200.0,27000.0,264000.0,20.0,16600.0,20700.0,330000.0,19.9
1985,MCKENZIE,NORTH DAKOTA,1289.9416164877,6400.0,17000.0,89600.0,14.0,78800.0,84800.0,1184800.0,15.0
1985,SCOTTS BLUFF,NEBRASKA,795.63047774032,14500.0,17100.0,388800.0,26.8,nan,nan,nan,nan
1985,SIOUX,NEBRASKA,742.25091693635,4000.0,7600.0,98200.0,24.6,nan,nan,nan,nan
1985,WILLIAMS,NORTH DAKOTA,1298.8269827678,7000.0,13000.0,105000.0,15.0,152900.0,162900.0,2134600.0,14.0
1986,BUTTE,SOUTH DAKOTA,1135.7316039092,16400.0,17600.0,425600.0,26.0,6300.0,8100.0,119400.0,19.0
1986,HARDING,SOUTH DAKOTA,1164.7591650566,24000.0,27900.0,574800.0,24.0,10600.0,16900.0,222600.0,21.0
1986,MCKENZIE,NORTH DAKOTA,1767.667339922,9500.0,10500.0,201400.0,21.2,84600.0,89500.0,2113200.0,25.0
1986,SCOTTS BLUFF,NEBRASKA,1331.0414751974,11400.0,13300.0,419400.0,36.8,nan,nan,nan,nan
1986,SIOUX,NEBRASKA,1300.9031692577,6600.0,9200.0,248000.0,37.6,nan,nan,nan,nan
1986,WILLIAMS,NORTH DAKOTA,1872.887746733,25200.0,28000.0,581400.0,23.1,187000.0,187000.0,5794500.0,31.0
1987,BUTTE,SOUTH DAKOTA,1192.9445475539,16000.0,16700.0,656000.0,41.0,4700.0,5000.0,108100.0,23.0
1987,HARDING,SOUTH DAKOTA,1341.1526608265,19900.0,23600.0,597000.0,30.0,9600.0,11000.0,230400.0,24.0
1987,MCKENZIE,NORTH DAKOTA,1691.9418795689,5900.0,6200.0,174100.0,29.5,79700.0,80200.0,1873000.0,23.5
1987,SCOTTS BLUFF,NEBRASKA,1267.2759550035,8300.0,9400.0,267300.0,32.2,nan,nan,nan,nan
1987,SIOUX,NEBRASKA,1280.1039481801,6000.0,7400.0,251400.0,41.9,nan,nan,nan,nan
1987,WILLIAMS,NORTH DAKOTA,1627.7421236873,6300.0,6600.0,151000.0,24.0,157500.0,158000.0,3578000.0,22.7
1988,BUTTE,SOUTH DAKOTA,676.32620775764,11700.0,14800.0,175500.0,15.0,2600.0,5000.0,31200.0,12.0
1988,HARDING,SOUTH DAKOTA,767.68364639588,8000.0,20000.0,80000.0,10.0,2500.0,10500.0,17500.0,7.0
1988,MCKENZIE,NORTH DAKOTA,828.72585846797,3600.0,7500.0,39600.0,11.0,66200.0,99000.0,496600.0,7.5
1988,SCOTTS BLUFF,NEBRASKA,1066.7321303842,8300.0,10000.0,254900.0,30.7,nan,nan,nan,nan
1988,SIOUX,NEBRASKA,993.10957539724,5000.0,7400.0,149600.0,29.9,nan,nan,nan,nan
1988,WILLIAMS,NORTH DAKOTA,838.59961142617,6500.0,9000.0,58500.0,9.0,139000.0,163900.0,1039000.0,7.5
1989,BUTTE,SOUTH DAKOTA,949.53683699132,7600.0,10700.0,182400.0,24.0,5500.0,6000.0,104500.0,19.0
1989,HARDING,SOUTH DAKOTA,1139.1569352902,9800.0,13400.0,205800.0,21.0,13000.0,14000.0,247000.0,19.0
1989,MCKENZIE,NORTH DAKOTA,1216.1340600316,400.0,800.0,9000.0,22.5,96400.0,108900.0,1707500.0,17.7
1989,SCOTTS BLUFF,NEBRASKA,672.91657891658,9400.0,11400.0,241700.0,25.7,nan,nan,nan,nan
1989,SIOUX,NEBRASKA,656.65599912535,6600.0,7200.0,171600.0,26.0,nan,nan,nan,nan
