year,county,state,ag_district,yield,type,units
2001,MORRILL,NEBRASKA,NORTHWEST,25600.0,"wheat, winter - acres harvested",acres
2000,CHEYENNE*,NEBRASKA,NORTHWEST,205700.0,"wheat, winter - acres harvested",acres
2000,DEUEL,NEBRASKA,NORTHWEST,89300.0,"wheat, winter - acres harvested",acres
2000,GARDEN,NEBRASKA,NORTHWEST,46600.0,"wheat, winter - acres harvested",acres
2000,KIMBALL,NEBRASKA,NORTHWEST,97800.0,"wheat, winter - acres harvested",acres
2000,MORRILL,NEBRASKA,NORTHWEST,28900.0,"wheat, winter - acres harvested",acres
1999,CHEYENNE*,NEBRASKA,NORTHWEST,173300.0,"wheat, winter - acres harvested",acres
1999,DEUEL,NEBRASKA,NORTHWEST,94600.0,"wheat, winter - acres harvested",acres
1999,GARDEN,NEBRASKA,NORTHWEST,50500.0,"wheat, winter - acres harvested",acres
1999,KIMBALL,NEBRASKA,NORTHWEST,99200.0,"wheat, winter - acres harvested",acres
1999,MORRILL,NEBRASKA,NORTHWEST,27100.0,"wheat, winter - acres harvested",acres
1998,CHEYENNE*,NEBRASKA,NORTHWEST,214700.0,"wheat, winter - acres harvested",acres
1998,DEUEL,NEBRASKA,NORTHWEST,91000.0,"wheat, winter - acres harvested",acres
1998,GARDEN,NEBRASKA,NORTHWEST,52700.0,"wheat, winter - acres harvested",acres
1998,KIMBALL,NEBRASKA,NORTHWEST,122300.0,"wheat, winter - acres harvested",acres
1998,MORRILL,NEBRASKA,NORTHWEST,32900.0,"wheat, winter - acres harvested",acres
1997,CHEYENNE*,NEBRASKA,NORTHWEST,225000.0,"wheat, winter - acres harvested",acres
1997,DEUEL,NEBRASKA,NORTHWEST,94100.0,"wheat, winter - acres harvested",acres
1997,GARDEN,NEBRASKA,NORTHWEST,54000.0,"wheat, winter - acres harvested",acres
1997,KIMBALL,NEBRASKA,NORTHWEST,115800.0,"wheat, winter - acres harvested",acres
1997,MORRILL,NEBRASKA,NORTHWEST,34100.0,"wheat, winter - acres harvested",acres
1996,CHEYENNE*,NEBRASKA,NORTHWEST,223500.0,"wheat, winter - acres harvested",acres
1996,DEUEL,NEBRASKA,NORTHWEST,101500.0,"wheat, winter - acres harvested",acres
1996,GARDEN,NEBRASKA,NORTHWEST,48400.0,"wheat, winter - acres harvested",acres
1996,KIMBALL,NEBRASKA,NORTHWEST,125400.0,"wheat, winter - acres harvested",acres
1996,MORRILL,NEBRASKA,NORTHWEST,28900.0,"wheat, winter - acres harvested",acres
1995,CHEYENNE*,NEBRASKA,NORTHWEST,225300.0,"wheat, winter - acres harvested",acres
1995,DEUEL,NEBRASKA,NORTHWEST,98700.0,"wheat, winter - acres harvested",acres
1995,GARDEN,NEBRASKA,NORTHWEST,49600.0,"wheat, winter - acres harvested",acres
1995,KIMBALL,NEBRASKA,NORTHWEST,138300.0,"wheat, winter - acres harvested",acres
1995,MORRILL,NEBRASKA,NORTHWEST,31700.0,"wheat, winter - acres harvested",acres
1994,CHEYENNE*,NEBRASKA,NORTHWEST,216900.0,"wheat, winter - acres harvested",acres
1994,DEUEL,NEBRASKA,NORTHWEST,98700.0,"wheat, winter - acres harvested",acres
1994,GARDEN,NEBRASKA,NORTHWEST,49900.0,"wheat, winter - acres harvested",acres
1994,KIMBALL,NEBRASKA,NORTHWEST,136500.0,"wheat, winter - acres harvested",acres
1994,MORRILL,NEBRASKA,NORTHWEST,30100.0,"wheat, winter - acres harvested",acres
1993,CHEYENNE*,NEBRASKA,NORTHWEST,161900.0,"wheat, winter - acres harvested",acres
1993,DEUEL,NEBRASKA,NORTHWEST,92500.0,"wheat, winter - acres harvested",acres
1993,GARDEN,NEBRASKA,NORTHWEST,45100.0,"wheat, winter - acres harvested",acres
1993,KIMBALL,NEBRASKA,NORTHWEST,137000.0,"wheat, winter - acres harvested",acres
1993,MORRILL,NEBRASKA,NORTHWEST,25200.0,"wheat, winter - acres harvested",acres
1992,CHEYENNE*,NEBRASKA,NORTHWEST,169500.0,"wheat, winter - acres harvested",acres
1992,DEUEL,NEBRASKA,NORTHWEST,70700.0,"wheat, winter - acres harvested",acres
1992,GARDEN,NEBRASKA,NORTHWEST,42800.0,"wheat, winter - acres harvested",acres
1992,KIMBALL,NEBRASKA,NORTHWEST,116100.0,"wheat, winter - acres harvested",acres
1992,MORRILL,NEBRASKA,NORTHWEST,25800.0,"wheat, winter - acres harvested",acres
1991,CHEYENNE*,NEBRASKA,NORTHWEST,188900.0,"wheat, winter - acres harvested",acres
1991,DEUEL,NEBRASKA,NORTHWEST,77900.0,"wheat, winter - acres harvested",acres
1991,GARDEN,NEBRASKA,NORTHWEST,45500.0,"wheat, winter - acres harvested",acres
1991,KIMBALL,NEBRASKA,NORTHWEST,126900.0,"wheat, winter - acres harvested",acres
1991,MORRILL,NEBRASKA,NORTHWEST,27800.0,"wheat, winter - acres harvested",acres
1990,CHEYENNE*,NEBRASKA,NORTHWEST,219500.0,"wheat, winter - acres harvested",acres
1990,DEUEL,NEBRASKA,NORTHWEST,88300.0,"wheat, winter - acres harvested",acres
1990,GARDEN,NEBRASKA,NORTHWEST,49500.0,"wheat, winter - acres harvested",acres
1990,KIMBALL,NEBRASKA,NORTHWEST,131000.0,"wheat, winter - acres harvested",acres
1990,MORRILL,NEBRASKA,NORTHWEST,28900.0,"wheat, winter - acres harvested",acres
1989,CHEYENNE*,NEBRASKA,NORTHWEST,199300.0,"wheat, winter - acres harvested",acres
1989,DEUEL,NEBRASKA,NORTHWEST,85700.0,"wheat, winter - acres harvested",acres
1989,GARDEN,NEBRASKA,NORTHWEST,46100.0,"wheat, winter - acres harvested",acres
1989,KIMBALL,NEBRASKA,NORTHWEST,125200.0,"wheat, winter - acres harvested",acres
1989,MORRILL,NEBRASKA,NORTHWEST,34300.0,"wheat, winter - acres harvested",acres
1988,CHEYENNE*,NEBRASKA,NORTHWEST,191200.0,"wheat, winter - acres harvested",acres
1988,DEUEL,NEBRASKA,NORTHWEST,73100.0,"wheat, winter - acres harvested",acres
1988,GARDEN,NEBRASKA,NORTHWEST,47600.0,"wheat, winter - acres harvested",acres
1988,KIMBALL,NEBRASKA,NORTHWEST,106500.0,"wheat, winter - acres harvested",acres
1988,MORRILL,NEBRASKA,NORTHWEST,25900.0,"wheat, winter - acres harvested",acres
1987,CHEYENNE*,NEBRASKA,NORTHWEST,179000.0,"wheat, winter - acres harvested",acres
1987,DEUEL,NEBRASKA,NORTHWEST,70000.0,"wheat, winter - acres harvested",acres
1987,GARDEN,NEBRASKA,NORTHWEST,45000.0,"wheat, winter - acres harvested",acres
1987,KIMBALL,NEBRASKA,NORTHWEST,112000.0,"wheat, winter - acres harvested",acres
1987,MORRILL,NEBRASKA,NORTHWEST,25500.0,"wheat, winter - acres harvested",acres
1986,CHEYENNE*,NEBRASKA,NORTHWEST,181500.0,"wheat, winter - acres harvested",acres
1986,DEUEL,NEBRASKA,NORTHWEST,71100.0,"wheat, winter - acres harvested",acres
1986,GARDEN,NEBRASKA,NORTHWEST,35700.0,"wheat, winter - acres harvested",acres
1986,KIMBALL,NEBRASKA,NORTHWEST,137600.0,"wheat, winter - acres harvested",acres
1986,MORRILL,NEBRASKA,NORTHWEST,26400.0,"wheat, winter - acres harvested",acres
1985,CHEYENNE*,NEBRASKA,NORTHWEST,193400.0,"wheat, winter - acres harvested",acres
1985,DEUEL,NEBRASKA,NORTHWEST,89900.0,"wheat, winter - acres harvested",acres
1985,GARDEN,NEBRASKA,NORTHWEST,53400.0,"wheat, winter - acres harvested",acres
1985,KIMBALL,NEBRASKA,NORTHWEST,126000.0,"wheat, winter - acres harvested",acres
1985,MORRILL,NEBRASKA,NORTHWEST,28900.0,"wheat, winter - acres harvested",acres
1984,CHEYENNE*,NEBRASKA,NORTHWEST,220900.0,"wheat, winter - acres harvested",acres
1984,DEUEL,NEBRASKA,NORTHWEST,100300.0,"wheat, winter - acres harvested",acres
1984,GARDEN,NEBRASKA,NORTHWEST,51700.0,"wheat, winter - acres harvested",acres
1984,KIMBALL,NEBRASKA,NORTHWEST,126500.0,"wheat, winter - acres harvested",acres
1984,MORRILL,NEBRASKA,NORTHWEST,27700.0,"wheat, winter - acres harvested",acres
1983,CHEYENNE*,NEBRASKA,NORTHWEST,201700.0,"wheat, winter - acres harvested",acres
1983,DEUEL,NEBRASKA,NORTHWEST,87100.0,"wheat, winter - acres harvested",acres
1983,GARDEN,NEBRASKA,NORTHWEST,38600.0,"wheat, winter - acres harvested",acres
1983,KIMBALL,NEBRASKA,NORTHWEST,121000.0,"wheat, winter - acres harvested",acres
1983,MORRILL,NEBRASKA,NORTHWEST,25700.0,"wheat, winter - acres harvested",acres
1982,CHEYENNE*,NEBRASKA,NORTHWEST,230700.0,"wheat, winter - acres harvested",acres
1982,DEUEL,NEBRASKA,NORTHWEST,103200.0,"wheat, winter - acres harvested",acres
1982,GARDEN,NEBRASKA,NORTHWEST,62700.0,"wheat, winter - acres harvested",acres
1982,KIMBALL,NEBRASKA,NORTHWEST,176100.0,"wheat, winter - acres harvested",acres
1982,MORRILL,NEBRASKA,NORTHWEST,39700.0,"wheat, winter - acres harvested",acres
1981,CHEYENNE*,NEBRASKA,NORTHWEST,236400.0,"wheat, winter - acres harvested",acres
1981,DEUEL,NEBRASKA,NORTHWEST,90300.0,"wheat, winter - acres harvested",acres
1981,GARDEN,NEBRASKA,NORTHWEST,54800.0,"wheat, winter - acres harvested",acres
1981,KIMBALL,NEBRASKA,NORTHWEST,186000.0,"wheat, winter - acres harvested",acres
1981,MORRILL,NEBRASKA,NORTHWEST,40100.0,"wheat, winter - acres harvested",acres
1980,CHEYENNE*,NEBRASKA,NORTHWEST,236700.0,"wheat, winter - acres harvested",acres
1980,DEUEL,NEBRASKA,NORTHWEST,89500.0,"wheat, winter - acres harvested",acres
1980,GARDEN,NEBRASKA,NORTHWEST,54200.0,"wheat, winter - acres harvested",acres
1980,KIMBALL,NEBRASKA,NORTHWEST,189000.0,"wheat, winter - acres harvested",acres
1980,MORRILL,NEBRASKA,NORTHWEST,39400.0,"wheat, winter - acres harvested",acres
1979,CHEYENNE*,NEBRASKA,NORTHWEST,217100.0,"wheat, winter - acres harvested",acres
1979,DEUEL,NEBRASKA,NORTHWEST,81700.0,"wheat, winter - acres harvested",acres
1979,GARDEN,NEBRASKA,NORTHWEST,46800.0,"wheat, winter - acres harvested",acres
1979,KIMBALL,NEBRASKA,NORTHWEST,177000.0,"wheat, winter - acres harvested",acres
1979,MORRILL,NEBRASKA,NORTHWEST,37800.0,"wheat, winter - acres harvested",acres
1978,CHEYENNE*,NEBRASKA,NORTHWEST,210000.0,"wheat, winter - acres harvested",acres
1978,DEUEL,NEBRASKA,NORTHWEST,80000.0,"wheat, winter - acres harvested",acres
1978,GARDEN,NEBRASKA,NORTHWEST,48000.0,"wheat, winter - acres harvested",acres
1978,KIMBALL,NEBRASKA,NORTHWEST,151000.0,"wheat, winter - acres harvested",acres
1978,MORRILL,NEBRASKA,NORTHWEST,35000.0,"wheat, winter - acres harvested",acres
1977,CHEYENNE*,NEBRASKA,NORTHWEST,222000.0,"wheat, winter - acres harvested",acres
1977,DEUEL,NEBRASKA,NORTHWEST,88000.0,"wheat, winter - acres harvested",acres
1977,GARDEN,NEBRASKA,NORTHWEST,55000.0,"wheat, winter - acres harvested",acres
1977,KIMBALL,NEBRASKA,NORTHWEST,161000.0,"wheat, winter - acres harvested",acres
1977,MORRILL,NEBRASKA,NORTHWEST,35000.0,"wheat, winter - acres harvested",acres
1976,CHEYENNE*,NEBRASKA,NORTHWEST,236000.0,"wheat, winter - acres harvested",acres
1976,DEUEL,NEBRASKA,NORTHWEST,97000.0,"wheat, winter - acres harvested",acres
1976,GARDEN,NEBRASKA,NORTHWEST,66000.0,"wheat, winter - acres harvested",acres
1976,KIMBALL,NEBRASKA,NORTHWEST,166000.0,"wheat, winter - acres harvested",acres
1976,MORRILL,NEBRASKA,NORTHWEST,33500.0,"wheat, winter - acres harvested",acres
1975,CHEYENNE*,NEBRASKA,NORTHWEST,233500.0,"wheat, winter - acres harvested",acres
1975,DEUEL,NEBRASKA,NORTHWEST,92200.0,"wheat, winter - acres harvested",acres
1975,GARDEN,NEBRASKA,NORTHWEST,69900.0,"wheat, winter - acres harvested",acres
1975,KIMBALL,NEBRASKA,NORTHWEST,172400.0,"wheat, winter - acres harvested",acres
1975,MORRILL,NEBRASKA,NORTHWEST,35000.0,"wheat, winter - acres harvested",acres
1974,CHEYENNE*,NEBRASKA,NORTHWEST,228500.0,"wheat, winter - acres harvested",acres
1974,DEUEL,NEBRASKA,NORTHWEST,97000.0,"wheat, winter - acres harvested",acres
1974,GARDEN,NEBRASKA,NORTHWEST,56000.0,"wheat, winter - acres harvested",acres
1974,KIMBALL,NEBRASKA,NORTHWEST,169000.0,"wheat, winter - acres harvested",acres
1974,MORRILL,NEBRASKA,NORTHWEST,34500.0,"wheat, winter - acres harvested",acres
1973,CHEYENNE*,NEBRASKA,NORTHWEST,225700.0,"wheat, winter - acres harvested",acres
1973,DEUEL,NEBRASKA,NORTHWEST,88500.0,"wheat, winter - acres harvested",acres
1973,GARDEN,NEBRASKA,NORTHWEST,59850.0,"wheat, winter - acres harvested",acres
1973,KIMBALL,NEBRASKA,NORTHWEST,168800.0,"wheat, winter - acres harvested",acres
1973,MORRILL,NEBRASKA,NORTHWEST,35450.0,"wheat, winter - acres harvested",acres
1972,CHEYENNE*,NEBRASKA,NORTHWEST,216300.0,"wheat, winter - acres harvested",acres
1972,DEUEL,NEBRASKA,NORTHWEST,85400.0,"wheat, winter - acres harvested",acres
1972,GARDEN,NEBRASKA,NORTHWEST,56100.0,"wheat, winter - acres harvested",acres
1972,KIMBALL,NEBRASKA,NORTHWEST,157100.0,"wheat, winter - acres harvested",acres
1972,MORRILL,NEBRASKA,NORTHWEST,33700.0,"wheat, winter - acres harvested",acres
1971,CHEYENNE*,NEBRASKA,NORTHWEST,171000.0,"wheat, winter - acres harvested",acres
1971,DEUEL,NEBRASKA,NORTHWEST,75000.0,"wheat, winter - acres harvested",acres
1971,GARDEN,NEBRASKA,NORTHWEST,48400.0,"wheat, winter - acres harvested",acres
1971,KIMBALL,NEBRASKA,NORTHWEST,124000.0,"wheat, winter - acres harvested",acres
1971,MORRILL,NEBRASKA,NORTHWEST,31200.0,"wheat, winter - acres harvested",acres
1970,CHEYENNE*,NEBRASKA,NORTHWEST,164900.0,"wheat, winter - acres harvested",acres
1970,DEUEL,NEBRASKA,NORTHWEST,72500.0,"wheat, winter - acres harvested",acres
1970,GARDEN,NEBRASKA,NORTHWEST,45900.0,"wheat, winter - acres harvested",acres
1970,KIMBALL,NEBRASKA,NORTHWEST,121400.0,"wheat, winter - acres harvested",acres
1970,MORRILL,NEBRASKA,NORTHWEST,30200.0,"wheat, winter - acres harvested",acres
1969,CHEYENNE*,NEBRASKA,NORTHWEST,179400.0,"wheat, winter - acres harvested",acres
