year,county,state,ag_district,yield,type,units
1981,STANLEY,SOUTH DAKOTA,WEST CENTRAL,76400.0,"wheat, winter - acres harvested",acres
1980,HUGHES,SOUTH DAKOTA,CENTRAL,29300.0,"wheat, winter - acres harvested",acres
1980,HYDE,SOUTH DAKOTA,CENTRAL,3000.0,"wheat, winter - acres harvested",acres
1980,SULLY*,SOUTH DAKOTA,CENTRAL,49800.0,"wheat, winter - acres harvested",acres
1980,POTTER,SOUTH DAKOTA,NORTH CENTRAL,36000.0,"wheat, winter - acres harvested",acres
1980,DEWEY,SOUTH DAKOTA,NORTHWEST,7000.0,"wheat, winter - acres harvested",acres
1980,STANLEY,SOUTH DAKOTA,WEST CENTRAL,80000.0,"wheat, winter - acres harvested",acres
1979,HUGHES,SOUTH DAKOTA,CENTRAL,3100.0,"wheat, winter - acres harvested",acres
1979,HYDE,SOUTH DAKOTA,CENTRAL,1100.0,"wheat, winter - acres harvested",acres
1979,SULLY*,SOUTH DAKOTA,CENTRAL,5300.0,"wheat, winter - acres harvested",acres
1979,POTTER,SOUTH DAKOTA,NORTH CENTRAL,7300.0,"wheat, winter - acres harvested",acres
1979,DEWEY,SOUTH DAKOTA,NORTHWEST,6200.0,"wheat, winter - acres harvested",acres
1979,STANLEY,SOUTH DAKOTA,WEST CENTRAL,25200.0,"wheat, winter - acres harvested",acres
1978,HUGHES,SOUTH DAKOTA,CENTRAL,3100.0,"wheat, winter - acres harvested",acres
1978,HYDE,SOUTH DAKOTA,CENTRAL,2500.0,"wheat, winter - acres harvested",acres
1978,SULLY*,SOUTH DAKOTA,CENTRAL,12400.0,"wheat, winter - acres harvested",acres
1978,POTTER,SOUTH DAKOTA,NORTH CENTRAL,12600.0,"wheat, winter - acres harvested",acres
1978,DEWEY,SOUTH DAKOTA,NORTHWEST,13600.0,"wheat, winter - acres harvested",acres
1978,STANLEY,SOUTH DAKOTA,WEST CENTRAL,33400.0,"wheat, winter - acres harvested",acres
